order_id,customer_id,country_code,product,quantity,unit_price_eur,amount_eur,order_date,status
ORD-050077,CUST-1067,PT,Team Plan,6,486.87,2921.22,2024-07-06,paid
ORD-050078,CUST-1025,PT,Training,5,473.98,2369.9,2024-01-19,paid
ORD-050079,CUST-1102,BR,Team Plan,6,52.38,314.28,2024-10-30,paid
ORD-050080,CUST-1098,BR,Enterprise,9,119.76,1077.84,2025-04-12,paid
ORD-050081,CUST-1093,AR,Storage GB,7,241.14,1687.98,2025-02-13,paid
ORD-050082,CUST-1035,GB,Enterprise,5,429.47,2147.35,2024-04-10,shipped
ORD-050083,CUST-1058,ES,Enterprise,9,195.29,1757.61,2024-10-14,paid
ORD-050084,CUST-1077,PT,Pro Plan,1,115.34,115.34,2024-12-06,shipped
ORD-050085,CUST-1054,MX,Team Plan,6,457.76,2746.56,2025-01-25,shipped
ORD-050086,CUST-1028,FR,Add-on Seat,4,172.86,691.44,2025-03-23,shipped
ORD-050087,CUST-1008,US,Support,6,475.74,2854.44,2024-07-16,paid
ORD-050088,CUST-1097,US,Add-on Seat,7,68.51,479.57,2024-11-22,paid
ORD-050089,CUST-1113,IT,Training,2,328.7,657.4,2024-12-19,shipped
ORD-050090,CUST-1090,DE,Storage GB,4,480.31,1921.24,2024-01-12,shipped
ORD-050091,CUST-1001,FR,Training,2,367.92,735.84,2024-07-08,shipped
ORD-050092,CUST-1039,AR,Support,2,477.66,955.32,2024-12-01,cancelled
ORD-050093,CUST-1046,GB,Storage GB,9,413.66,3722.94,2025-05-16,shipped
ORD-050094,CUST-1063,ES,Enterprise,5,218.38,1091.9,2025-07-15,shipped
ORD-050095,CUST-1069,IT,Training,2,350.56,701.12,2024-03-20,paid
ORD-050096,CUST-1113,IT,Enterprise,7,460.16,3221.12,2024-10-28,shipped
ORD-050097,CUST-1001,FR,Add-on Seat,9,20.39,183.51,2025-02-09,shipped
ORD-050098,CUST-1039,AR,Team Plan,1,400.79,400.79,2025-05-11,cancelled
ORD-050099,CUST-1062,MX,Training,10,44.37,443.7,2025-04-30,paid
ORD-050100,CUST-1089,BR,Pro Plan,4,107.11,428.44,2024-03-29,paid
ORD-050101,CUST-1110,MX,Pro Plan,10,269.26,2692.6,2024-03-27,refunded
ORD-050102,CUST-1029,US,Training,1,230.97,230.97,2024-01-18,shipped
ORD-050103,CUST-1090,DE,Training,1,400.16,400.16,2024-08-20,paid
ORD-050104,CUST-1006,DE,Storage GB,4,57.61,230.44,2024-04-01,pending
ORD-050105,CUST-1096,US,Pro Plan,1,89.26,89.26,2024-08-12,shipped
ORD-050106,CUST-1043,GB,Add-on Seat,10,447.58,4475.8,2024-11-08,paid
ORD-050107,CUST-1001,FR,Team Plan,6,485.03,2910.18,2025-04-15,shipped
ORD-050108,CUST-1010,IT,Team Plan,1,305.05,305.05,2025-01-02,paid
ORD-050109,CUST-1036,GB,Storage GB,2,167.94,335.88,2024-09-22,paid
ORD-050110,CUST-1010,IT,Add-on Seat,9,79.99,719.91,2024-01-22,paid
ORD-050111,CUST-1072,DE,Enterprise,3,402.9,1208.7,2024-09-15,paid
ORD-050112,CUST-1076,AR,Team Plan,3,145.6,436.8,2025-05-19,shipped
ORD-050113,CUST-1015,GB,Team Plan,7,25.22,176.54,2024-03-19,paid
ORD-050114,CUST-1083,BR,Support,6,33.65,201.9,2024-09-26,shipped
ORD-050115,CUST-1089,BR,Training,1,462.96,462.96,2024-05-05,cancelled
ORD-050116,CUST-1058,ES,Support,10,116.2,1162.0,2025-08-07,shipped
ORD-050117,CUST-1102,BR,Team Plan,3,326.41,979.23,2024-01-19,refunded
ORD-050118,CUST-1015,GB,Training,10,361.0,3610.0,2025-06-20,paid
ORD-050119,CUST-1099,GB,Pro Plan,1,208.56,208.56,2024-11-18,shipped
ORD-050120,CUST-1063,ES,Support,7,120.07,840.49,2025-06-08,paid
ORD-050121,CUST-1110,MX,Pro Plan,7,436.92,3058.44,2025-02-03,shipped
ORD-050122,CUST-1032,FR,Enterprise,5,138.46,692.3,2024-04-23,shipped
ORD-050123,CUST-1000,IT,Storage GB,3,299.48,898.44,2025-04-25,paid
ORD-050124,CUST-1047,ES,Enterprise,7,372.2,2605.4,2024-10-04,paid
ORD-050125,CUST-1019,ES,Storage GB,8,211.21,1689.68,2025-05-24,shipped
ORD-050126,CUST-1012,PT,Pro Plan,1,115.64,115.64,2025-04-22,paid
ORD-050127,CUST-1038,FR,Storage GB,3,247.03,741.09,2025-07-30,shipped
ORD-050128,CUST-1080,FR,Team Plan,10,160.31,1603.1,2024-09-09,shipped
ORD-050129,CUST-1099,GB,Add-on Seat,6,454.08,2724.48,2024-09-14,paid
ORD-050130,CUST-1063,ES,Training,7,408.29,2858.03,2025-03-10,shipped
ORD-050131,CUST-1062,MX,Team Plan,4,322.95,1291.8,2024-02-11,shipped
ORD-050132,CUST-1095,MX,Training,6,293.05,1758.3,2024-11-19,shipped
ORD-050133,CUST-1059,AR,Add-on Seat,7,262.35,1836.45,2024-02-01,paid
ORD-050134,CUST-1028,FR,Add-on Seat,5,420.19,2100.95,2025-06-04,shipped
ORD-050135,CUST-1090,DE,Storage GB,6,149.23,895.38,2024-12-10,shipped
ORD-050136,CUST-1095,MX,Team Plan,2,431.22,862.44,2024-03-08,paid
ORD-050137,CUST-1104,BR,Add-on Seat,3,117.13,351.39,2025-07-03,shipped
ORD-050138,CUST-1064,AR,Support,1,172.01,172.01,2024-10-16,paid
ORD-050139,CUST-1008,US,Pro Plan,6,346.9,2081.4,2025-01-30,shipped
ORD-050140,CUST-1057,PT,Storage GB,3,499.17,1497.51,2024-08-30,refunded
ORD-050141,CUST-1111,PT,Team Plan,10,121.19,1211.9,2024-04-19,paid
ORD-050142,CUST-1066,FR,Team Plan,5,458.24,2291.2,2025-04-02,paid
ORD-050143,CUST-1091,BR,Training,1,282.16,282.16,2025-05-12,refunded
ORD-050144,CUST-1037,MX,Pro Plan,5,373.85,1869.25,2025-08-10,shipped
ORD-050145,CUST-1046,GB,Training,6,451.56,2709.36,2024-03-28,shipped
ORD-050146,CUST-1030,MX,Add-on Seat,6,395.67,2374.02,2024-03-20,paid
ORD-050147,CUST-1114,MX,Team Plan,1,473.71,473.71,2024-12-07,paid
ORD-050148,CUST-1080,FR,Storage GB,4,167.69,670.76,2024-11-30,paid
ORD-050149,CUST-1050,IT,Storage GB,3,41.04,123.12,2024-02-22,shipped
ORD-050150,CUST-1085,PT,Enterprise,3,369.25,1107.75,2024-03-03,paid
ORD-050151,CUST-1007,US,Pro Plan,6,48.74,292.44,2025-01-09,refunded
ORD-050152,CUST-1062,MX,Enterprise,5,482.68,2413.4,2025-02-11,paid
ORD-050153,CUST-1091,BR,Storage GB,4,235.45,941.8,2025-01-09,shipped
ORD-050154,CUST-1071,GB,Enterprise,7,44.58,312.06,2024-02-15,paid
ORD-050155,CUST-1035,GB,Support,10,402.02,4020.2,2024-05-11,paid
ORD-050156,CUST-1025,PT,Add-on Seat,7,395.02,2765.14,2024-01-10,paid
ORD-050157,CUST-1103,DE,Support,8,342.86,2742.88,2024-04-22,cancelled
ORD-050158,CUST-1111,PT,Support,9,21.2,190.8,2024-01-17,shipped
ORD-050159,CUST-1033,IT,Training,9,294.29,2648.61,2025-05-04,paid
ORD-050160,CUST-1004,MX,Add-on Seat,2,457.01,914.02,2025-07-20,paid
ORD-050161,CUST-1055,ES,Support,6,239.96,1439.76,2024-09-05,shipped
ORD-050162,CUST-1084,MX,Pro Plan,8,289.43,2315.44,2024-09-27,shipped
ORD-050163,CUST-1108,MX,Pro Plan,2,473.68,947.36,2024-03-13,paid
ORD-050164,CUST-1010,IT,Pro Plan,1,435.27,435.27,2024-01-02,paid
ORD-050165,CUST-1018,US,Training,3,335.3,1005.9,2025-07-21,shipped
ORD-050166,CUST-1017,BR,Team Plan,3,28.42,85.26,2025-01-30,shipped
ORD-050167,CUST-1043,GB,Pro Plan,6,193.5,1161.0,2024-10-03,paid
ORD-050168,CUST-1092,GB,Team Plan,7,141.12,987.84,2024-01-24,shipped
ORD-050169,CUST-1000,IT,Enterprise,4,125.74,502.96,2025-04-21,pending
ORD-050170,CUST-1062,MX,Team Plan,1,119.82,119.82,2025-07-11,shipped
ORD-050171,CUST-1117,GB,Team Plan,9,499.32,4493.88,2025-04-19,shipped
ORD-050172,CUST-1055,ES,Support,8,296.41,2371.28,2025-01-21,shipped
ORD-050173,CUST-1095,MX,Enterprise,4,395.55,1582.2,2024-03-07,paid
ORD-050174,CUST-1019,ES,Support,5,352.98,1764.9,2024-04-06,shipped
ORD-050175,CUST-1036,GB,Add-on Seat,10,81.32,813.2,2024-11-22,pending
ORD-050176,CUST-1078,ES,Enterprise,8,484.02,3872.16,2024-01-06,paid
ORD-050177,CUST-1040,PT,Support,9,217.66,1958.94,2025-05-01,paid
ORD-050178,CUST-1087,US,Pro Plan,4,278.48,1113.92,2024-07-22,refunded
ORD-050179,CUST-1101,IT,Pro Plan,10,297.82,2978.2,2024-08-19,shipped
ORD-050180,CUST-1017,BR,Enterprise,8,153.5,1228.0,2024-04-05,paid
ORD-050181,CUST-1070,FR,Add-on Seat,5,145.0,725.0,2024-06-03,shipped
ORD-050182,CUST-1067,PT,Enterprise,3,469.84,1409.52,2024-04-05,paid
ORD-050183,CUST-1034,US,Add-on Seat,6,38.76,232.56,2025-01-09,paid
ORD-050184,CUST-1075,FR,Support,2,228.96,457.92,2024-06-05,shipped
ORD-050185,CUST-1112,FR,Enterprise,3,411.89,1235.67,2024-02-29,shipped
ORD-050186,CUST-1059,AR,Storage GB,9,75.87,682.83,2024-07-02,refunded
ORD-050187,CUST-1018,US,Team Plan,4,255.28,1021.12,2024-11-24,paid
ORD-050188,CUST-1081,US,Add-on Seat,5,292.38,1461.9,2024-08-28,shipped
ORD-050189,CUST-1077,PT,Storage GB,6,169.23,1015.38,2025-02-28,paid
ORD-050190,CUST-1054,MX,Support,8,225.44,1803.52,2025-07-26,paid
ORD-050191,CUST-1026,DE,Team Plan,1,394.79,394.79,2025-02-18,paid
ORD-050192,CUST-1080,FR,Add-on Seat,5,461.48,2307.4,2024-04-04,shipped
ORD-050193,CUST-1046,GB,Pro Plan,3,481.31,1443.93,2025-06-15,shipped
ORD-050194,CUST-1009,DE,Storage GB,10,332.37,3323.7,2024-06-12,paid
ORD-050195,CUST-1037,MX,Pro Plan,2,345.62,691.24,2024-06-16,paid
ORD-050196,CUST-1066,FR,Training,9,195.58,1760.22,2025-05-03,paid
ORD-050197,CUST-1080,FR,Storage GB,10,148.57,1485.7,2025-08-22,paid
ORD-050198,CUST-1084,MX,Pro Plan,4,34.68,138.72,2024-11-14,shipped
ORD-050199,CUST-1072,DE,Support,7,243.18,1702.26,2024-06-01,shipped
ORD-050200,CUST-1112,FR,Add-on Seat,3,411.93,1235.79,2024-09-23,paid
ORD-050201,CUST-1004,MX,Storage GB,4,70.66,282.64,2025-03-25,paid
ORD-050202,CUST-1049,US,Training,7,489.52,3426.64,2024-07-05,paid
ORD-050203,CUST-1061,IT,Enterprise,8,338.26,2706.08,2024-08-12,refunded
ORD-050204,CUST-1097,US,Pro Plan,4,15.44,61.76,2025-08-16,shipped
ORD-050205,CUST-1025,PT,Enterprise,9,339.35,3054.15,2024-08-28,cancelled
ORD-050206,CUST-1102,BR,Storage GB,5,339.96,1699.8,2025-03-30,paid
ORD-050207,CUST-1115,DE,Team Plan,7,265.08,1855.56,2024-09-23,paid
ORD-050208,CUST-1094,BR,Storage GB,9,18.22,163.98,2024-05-23,paid
ORD-050209,CUST-1031,US,Add-on Seat,5,383.36,1916.8,2024-04-12,refunded
ORD-050210,CUST-1013,GB,Pro Plan,7,364.19,2549.33,2025-03-29,paid
ORD-050211,CUST-1034,US,Team Plan,2,331.84,663.68,2024-09-25,shipped
ORD-050212,CUST-1080,FR,Add-on Seat,6,26.87,161.22,2024-05-07,paid
ORD-050213,CUST-1107,FR,Team Plan,9,198.44,1785.96,2025-07-28,paid
ORD-050214,CUST-1106,GB,Support,8,135.7,1085.6,2024-08-11,paid
ORD-050215,CUST-1095,MX,Pro Plan,2,71.91,143.82,2024-03-23,shipped
ORD-050216,CUST-1106,GB,Enterprise,4,25.38,101.52,2024-04-13,paid
ORD-050217,CUST-1017,BR,Support,7,168.36,1178.52,2024-09-21,paid
ORD-050218,CUST-1104,BR,Add-on Seat,1,95.74,95.74,2024-05-21,shipped
ORD-050219,CUST-1002,DE,Add-on Seat,8,139.01,1112.08,2025-06-16,paid
ORD-050220,CUST-1092,GB,Support,6,339.36,2036.16,2025-01-29,shipped
ORD-050221,CUST-1016,BR,Pro Plan,8,137.09,1096.72,2024-06-21,shipped
ORD-050222,CUST-1014,AR,Pro Plan,3,252.42,757.26,2024-11-25,cancelled
ORD-050223,CUST-1057,PT,Add-on Seat,7,66.62,466.34,2024-07-11,paid
ORD-050224,CUST-1030,MX,Storage GB,3,128.52,385.56,2024-12-29,shipped
ORD-050225,CUST-1017,BR,Training,1,431.52,431.52,2024-04-03,refunded
ORD-050226,CUST-1054,MX,Support,6,370.91,2225.46,2024-09-08,paid
ORD-050227,CUST-1114,MX,Add-on Seat,9,19.85,178.65,2024-10-23,paid
ORD-050228,CUST-1000,IT,Storage GB,7,223.8,1566.6,2025-04-22,shipped
ORD-050229,CUST-1004,MX,Pro Plan,4,344.61,1378.44,2025-03-07,paid
ORD-050230,CUST-1075,FR,Support,3,272.13,816.39,2025-03-24,paid
ORD-050231,CUST-1014,AR,Training,4,345.27,1381.08,2024-02-22,paid
ORD-050232,CUST-1052,FR,Enterprise,4,79.91,319.64,2024-07-18,refunded
ORD-050233,CUST-1033,IT,Support,8,147.73,1181.84,2024-03-06,cancelled
ORD-050234,CUST-1002,DE,Team Plan,9,176.47,1588.23,2024-03-10,paid
ORD-050235,CUST-1015,GB,Enterprise,3,446.93,1340.79,2024-07-24,paid
ORD-050236,CUST-1023,DE,Pro Plan,9,46.61,419.49,2024-06-18,shipped
ORD-050237,CUST-1018,US,Storage GB,2,379.15,758.3,2024-06-17,shipped
ORD-050238,CUST-1084,MX,Pro Plan,1,88.28,88.28,2025-02-19,shipped
ORD-050239,CUST-1115,DE,Training,2,204.58,409.16,2025-03-10,shipped
ORD-050240,CUST-1059,AR,Enterprise,7,103.53,724.71,2025-08-12,paid
ORD-050241,CUST-1041,AR,Enterprise,7,347.98,2435.86,2024-08-23,refunded
ORD-050242,CUST-1082,ES,Storage GB,9,363.03,3267.27,2024-05-18,shipped
ORD-050243,CUST-1014,AR,Add-on Seat,1,159.68,159.68,2024-04-29,paid
ORD-050244,CUST-1073,ES,Support,1,449.88,449.88,2024-05-03,paid
ORD-050245,CUST-1115,DE,Pro Plan,10,248.71,2487.1,2025-08-23,shipped
ORD-050246,CUST-1064,AR,Add-on Seat,1,342.56,342.56,2024-01-01,paid
ORD-050247,CUST-1084,MX,Add-on Seat,4,82.88,331.52,2024-02-27,paid
ORD-050248,CUST-1103,DE,Enterprise,2,255.45,510.9,2024-07-25,paid
ORD-050249,CUST-1103,DE,Support,3,158.6,475.8,2024-10-16,paid
ORD-050250,CUST-1049,US,Enterprise,9,172.92,1556.28,2024-12-23,shipped
ORD-050251,CUST-1083,BR,Training,8,81.29,650.32,2024-02-17,paid
ORD-050252,CUST-1033,IT,Support,10,43.99,439.9,2025-01-18,paid
ORD-050253,CUST-1078,ES,Support,2,303.48,606.96,2024-06-06,paid
ORD-050254,CUST-1091,BR,Training,1,223.01,223.01,2024-02-04,paid
ORD-050255,CUST-1024,GB,Pro Plan,3,320.96,962.88,2024-03-06,paid
ORD-050256,CUST-1010,IT,Enterprise,3,411.56,1234.68,2024-11-15,paid
ORD-050257,CUST-1073,ES,Training,9,311.5,2803.5,2025-05-18,shipped
ORD-050258,CUST-1037,MX,Support,2,447.6,895.2,2024-10-09,paid
ORD-050259,CUST-1086,IT,Pro Plan,1,354.6,354.6,2024-09-22,shipped
ORD-050260,CUST-1096,US,Add-on Seat,1,86.09,86.09,2025-04-18,shipped
ORD-050261,CUST-1026,DE,Enterprise,1,271.0,271.0,2024-06-12,shipped
ORD-050262,CUST-1103,DE,Enterprise,7,300.85,2105.95,2025-02-19,shipped
ORD-050263,CUST-1076,AR,Add-on Seat,2,353.4,706.8,2024-04-16,paid
ORD-050264,CUST-1019,ES,Team Plan,3,380.5,1141.5,2024-03-16,pending
ORD-050265,CUST-1074,DE,Add-on Seat,10,15.92,159.2,2025-02-07,refunded
ORD-050266,CUST-1050,IT,Add-on Seat,1,134.93,134.93,2024-11-06,paid
ORD-050267,CUST-1092,GB,Add-on Seat,10,229.17,2291.7,2025-06-10,shipped
ORD-050268,CUST-1089,BR,Training,6,305.36,1832.16,2024-02-15,shipped
ORD-050269,CUST-1038,FR,Storage GB,8,344.23,2753.84,2025-06-16,refunded
ORD-050270,CUST-1002,DE,Add-on Seat,3,30.27,90.81,2024-03-09,paid
ORD-050271,CUST-1089,BR,Team Plan,3,424.17,1272.51,2025-06-06,paid
ORD-050272,CUST-1033,IT,Enterprise,2,29.05,58.1,2024-09-20,shipped
ORD-050273,CUST-1081,US,Enterprise,1,421.8,421.8,2025-07-18,shipped
ORD-050274,CUST-1082,ES,Storage GB,6,71.36,428.16,2024-07-30,paid
ORD-050275,CUST-1101,IT,Storage GB,7,342.94,2400.58,2024-12-19,shipped
ORD-050276,CUST-1046,GB,Pro Plan,3,263.54,790.62,2024-12-23,cancelled
ORD-050277,CUST-1116,US,Team Plan,5,109.76,548.8,2025-02-15,paid
ORD-050278,CUST-1012,PT,Enterprise,10,146.97,1469.7,2025-06-28,pending
ORD-050279,CUST-1117,GB,Team Plan,8,320.75,2566.0,2024-12-05,paid
ORD-050280,CUST-1104,BR,Support,3,70.3,210.9,2024-06-16,paid
ORD-050281,CUST-1007,US,Team Plan,10,358.06,3580.6,2025-05-11,paid
ORD-050282,CUST-1089,BR,Pro Plan,2,128.29,256.58,2024-03-05,paid
ORD-050283,CUST-1098,BR,Support,10,359.13,3591.3,2025-01-27,paid
ORD-050284,CUST-1076,AR,Team Plan,2,265.56,531.12,2024-12-28,pending
ORD-050285,CUST-1088,US,Support,3,205.76,617.28,2025-03-25,shipped
ORD-050286,CUST-1004,MX,Storage GB,5,27.57,137.85,2025-06-19,shipped
ORD-050287,CUST-1084,MX,Pro Plan,3,389.29,1167.87,2024-07-28,shipped
ORD-050288,CUST-1034,US,Support,3,376.75,1130.25,2024-09-16,paid
ORD-050289,CUST-1046,GB,Team Plan,2,187.62,375.24,2024-05-10,paid
ORD-050290,CUST-1080,FR,Support,5,257.74,1288.7,2025-03-17,paid
ORD-050291,CUST-1084,MX,Support,5,395.89,1979.45,2025-08-15,paid
ORD-050292,CUST-1083,BR,Enterprise,6,452.69,2716.14,2024-04-18,paid
ORD-050293,CUST-1030,MX,Storage GB,4,433.57,1734.28,2024-03-23,paid
ORD-050294,CUST-1045,GB,Pro Plan,10,234.75,2347.5,2025-07-28,paid
ORD-050295,CUST-1051,DE,Enterprise,4,378.15,1512.6,2024-02-18,paid
ORD-050296,CUST-1060,BR,Add-on Seat,4,326.88,1307.52,2024-09-01,shipped
ORD-050297,CUST-1015,GB,Pro Plan,6,356.13,2136.78,2024-10-19,shipped
ORD-050298,CUST-1021,FR,Support,4,297.12,1188.48,2024-01-12,paid
ORD-050299,CUST-1024,GB,Add-on Seat,3,192.13,576.39,2024-04-28,refunded
ORD-050300,CUST-1034,US,Storage GB,4,271.34,1085.36,2025-04-11,paid
ORD-050301,CUST-1072,DE,Support,7,151.77,1062.39,2025-07-01,paid
ORD-050302,CUST-1027,PT,Team Plan,1,92.16,92.16,2024-03-08,paid
ORD-050303,CUST-1059,AR,Storage GB,5,475.48,2377.4,2025-06-03,paid
ORD-050304,CUST-1079,GB,Add-on Seat,1,399.09,399.09,2024-03-23,shipped
ORD-050305,CUST-1085,PT,Support,8,324.01,2592.08,2025-01-21,paid
ORD-050306,CUST-1085,PT,Pro Plan,7,358.7,2510.9,2024-01-13,paid
ORD-050307,CUST-1102,BR,Pro Plan,7,272.97,1910.79,2024-02-01,shipped
ORD-050308,CUST-1067,PT,Enterprise,6,278.94,1673.64,2025-07-05,cancelled
ORD-050309,CUST-1100,MX,Pro Plan,6,160.32,961.92,2025-01-16,refunded
ORD-050310,CUST-1079,GB,Training,3,420.77,1262.31,2025-05-15,shipped
ORD-050311,CUST-1026,DE,Support,9,147.18,1324.62,2025-01-14,paid
ORD-050312,CUST-1021,FR,Pro Plan,2,214.34,428.68,2024-11-29,shipped
ORD-050313,CUST-1063,ES,Support,3,108.48,325.44,2025-02-12,paid
ORD-050314,CUST-1035,GB,Add-on Seat,3,441.72,1325.16,2025-04-18,paid
ORD-050315,CUST-1092,GB,Support,3,137.13,411.39,2024-07-18,paid
ORD-050316,CUST-1018,US,Add-on Seat,9,431.29,3881.61,2024-12-20,shipped
ORD-050317,CUST-1092,GB,Team Plan,7,45.72,320.04,2024-04-28,paid
ORD-050318,CUST-1091,BR,Storage GB,7,345.33,2417.31,2024-12-05,shipped
